series_id,year,label,value,series_name,month,date
LNS14000000,1948,1948 Jan,3.4,seas-unemployment-all,1,1948-01-01
LNS14000000,1948,1948 Feb,3.8,seas-unemployment-all,2,1948-02-01
LNS14000000,1948,1948 Mar,4.0,seas-unemployment-all,3,1948-03-01
LNS14000000,1948,1948 Apr,3.9,seas-unemployment-all,4,1948-04-01
LNS14000000,1948,1948 May,3.5,seas-unemployment-all,5,1948-05-01
LNS14000000,1948,1948 Jun,3.6,seas-unemployment-all,6,1948-06-01
LNS14000000,1948,1948 Jul,3.6,seas-unemployment-all,7,1948-07-01
LNS14000000,1948,1948 Aug,3.9,seas-unemployment-all,8,1948-08-01
LNS14000000,1948,1948 Sep,3.8,seas-unemployment-all,9,1948-09-01
LNS14000000,1948,1948 Oct,3.7,seas-unemployment-all,10,1948-10-01
LNS14000000,1948,1948 Nov,3.8,seas-unemployment-all,11,1948-11-01
LNS14000000,1948,1948 Dec,4.0,seas-unemployment-all,12,1948-12-01
LNS14000000,1949,1949 Jan,4.3,seas-unemployment-all,1,1949-01-01
LNS14000000,1949,1949 Feb,4.7,seas-unemployment-all,2,1949-02-01
LNS14000000,1949,1949 Mar,5.0,seas-unemployment-all,3,1949-03-01
LNS14000000,1949,1949 Apr,5.3,seas-unemployment-all,4,1949-04-01
LNS14000000,1949,1949 May,6.1,seas-unemployment-all,5,1949-05-01
LNS14000000,1949,1949 Jun,6.2,seas-unemployment-all,6,1949-06-01
LNS14000000,1949,1949 Jul,6.7,seas-unemployment-all,7,1949-07-01
LNS14000000,1949,1949 Aug,6.8,seas-unemployment-all,8,1949-08-01
LNS14000000,1949,1949 Sep,6.6,seas-unemployment-all,9,1949-09-01
LNS14000000,1949,1949 Oct,7.9,seas-unemployment-all,10,1949-10-01
LNS14000000,1949,1949 Nov,6.4,seas-unemployment-all,11,1949-11-01
LNS14000000,1949,1949 Dec,6.6,seas-unemployment-all,12,1949-12-01
LNS14000000,1950,1950 Jan,6.5,seas-unemployment-all,1,1950-01-01
LNS14000000,1950,1950 Feb,6.4,seas-unemployment-all,2,1950-02-01
LNS14000000,1950,1950 Mar,6.3,seas-unemployment-all,3,1950-03-01
LNS14000000,1950,1950 Apr,5.8,seas-unemployment-all,4,1950-04-01
LNS14000000,1950,1950 May,5.5,seas-unemployment-all,5,1950-05-01
LNS14000000,1950,1950 Jun,5.4,seas-unemployment-all,6,1950-06-01
LNS14000000,1950,1950 Jul,5.0,seas-unemployment-all,7,1950-07-01
LNS14000000,1950,1950 Aug,4.5,seas-unemployment-all,8,1950-08-01
LNS14000000,1950,1950 Sep,4.4,seas-unemployment-all,9,1950-09-01
LNS14000000,1950,1950 Oct,4.2,seas-unemployment-all,10,1950-10-01
LNS14000000,1950,1950 Nov,4.2,seas-unemployment-all,11,1950-11-01
LNS14000000,1950,1950 Dec,4.3,seas-unemployment-all,12,1950-12-01
LNS14000000,1951,1951 Jan,3.7,seas-unemployment-all,1,1951-01-01
LNS14000000,1951,1951 Feb,3.4,seas-unemployment-all,2,1951-02-01
LNS14000000,1951,1951 Mar,3.4,seas-unemployment-all,3,1951-03-01
LNS14000000,1951,1951 Apr,3.1,seas-unemployment-all,4,1951-04-01
LNS14000000,1951,1951 May,3.0,seas-unemployment-all,5,1951-05-01
LNS14000000,1951,1951 Jun,3.2,seas-unemployment-all,6,1951-06-01
LNS14000000,1951,1951 Jul,3.1,seas-unemployment-all,7,1951-07-01
LNS14000000,1951,1951 Aug,3.1,seas-unemployment-all,8,1951-08-01
LNS14000000,1951,1951 Sep,3.3,seas-unemployment-all,9,1951-09-01
LNS14000000,1951,1951 Oct,3.5,seas-unemployment-all,10,1951-10-01
LNS14000000,1951,1951 Nov,3.5,seas-unemployment-all,11,1951-11-01
LNS14000000,1951,1951 Dec,3.1,seas-unemployment-all,12,1951-12-01
LNS14000000,1952,1952 Jan,3.2,seas-unemployment-all,1,1952-01-01
LNS14000000,1952,1952 Feb,3.1,seas-unemployment-all,2,1952-02-01
LNS14000000,1952,1952 Mar,2.9,seas-unemployment-all,3,1952-03-01
LNS14000000,1952,1952 Apr,2.9,seas-unemployment-all,4,1952-04-01
LNS14000000,1952,1952 May,3.0,seas-unemployment-all,5,1952-05-01
LNS14000000,1952,1952 Jun,3.0,seas-unemployment-all,6,1952-06-01
LNS14000000,1952,1952 Jul,3.2,seas-unemployment-all,7,1952-07-01
LNS14000000,1952,1952 Aug,3.4,seas-unemployment-all,8,1952-08-01
LNS14000000,1952,1952 Sep,3.1,seas-unemployment-all,9,1952-09-01
LNS14000000,1952,1952 Oct,3.0,seas-unemployment-all,10,1952-10-01
LNS14000000,1952,1952 Nov,2.8,seas-unemployment-all,11,1952-11-01
LNS14000000,1952,1952 Dec,2.7,seas-unemployment-all,12,1952-12-01
LNS14000000,1953,1953 Jan,2.9,seas-unemployment-all,1,1953-01-01
LNS14000000,1953,1953 Feb,2.6,seas-unemployment-all,2,1953-02-01
LNS14000000,1953,1953 Mar,2.6,seas-unemployment-all,3,1953-03-01
LNS14000000,1953,1953 Apr,2.7,seas-unemployment-all,4,1953-04-01
LNS14000000,1953,1953 May,2.5,seas-unemployment-all,5,1953-05-01
LNS14000000,1953,1953 Jun,2.5,seas-unemployment-all,6,1953-06-01
LNS14000000,1953,1953 Jul,2.6,seas-unemployment-all,7,1953-07-01
LNS14000000,1953,1953 Aug,2.7,seas-unemployment-all,8,1953-08-01
LNS14000000,1953,1953 Sep,2.9,seas-unemployment-all,9,1953-09-01
LNS14000000,1953,1953 Oct,3.1,seas-unemployment-all,10,1953-10-01
LNS14000000,1953,1953 Nov,3.5,seas-unemployment-all,11,1953-11-01
LNS14000000,1953,1953 Dec,4.5,seas-unemployment-all,12,1953-12-01
LNS14000000,1954,1954 Jan,4.9,seas-unemployment-all,1,1954-01-01
LNS14000000,1954,1954 Feb,5.2,seas-unemployment-all,2,1954-02-01
LNS14000000,1954,1954 Mar,5.7,seas-unemployment-all,3,1954-03-01
LNS14000000,1954,1954 Apr,5.9,seas-unemployment-all,4,1954-04-01
LNS14000000,1954,1954 May,5.9,seas-unemployment-all,5,1954-05-01
LNS14000000,1954,1954 Jun,5.6,seas-unemployment-all,6,1954-06-01
LNS14000000,1954,1954 Jul,5.8,seas-unemployment-all,7,1954-07-01
LNS14000000,1954,1954 Aug,6.0,seas-unemployment-all,8,1954-08-01
LNS14000000,1954,1954 Sep,6.1,seas-unemployment-all,9,1954-09-01
LNS14000000,1954,1954 Oct,5.7,seas-unemployment-all,10,1954-10-01
LNS14000000,1954,1954 Nov,5.3,seas-unemployment-all,11,1954-11-01
LNS14000000,1954,1954 Dec,5.0,seas-unemployment-all,12,1954-12-01
LNS14000000,1955,1955 Jan,4.9,seas-unemployment-all,1,1955-01-01
LNS14000000,1955,1955 Feb,4.7,seas-unemployment-all,2,1955-02-01
LNS14000000,1955,1955 Mar,4.6,seas-unemployment-all,3,1955-03-01
LNS14000000,1955,1955 Apr,4.7,seas-unemployment-all,4,1955-04-01
LNS14000000,1955,1955 May,4.3,seas-unemployment-all,5,1955-05-01
LNS14000000,1955,1955 Jun,4.2,seas-unemployment-all,6,1955-06-01
LNS14000000,1955,1955 Jul,4.0,seas-unemployment-all,7,1955-07-01
LNS14000000,1955,1955 Aug,4.2,seas-unemployment-all,8,1955-08-01
LNS14000000,1955,1955 Sep,4.1,seas-unemployment-all,9,1955-09-01
LNS14000000,1955,1955 Oct,4.3,seas-unemployment-all,10,1955-10-01
LNS14000000,1955,1955 Nov,4.2,seas-unemployment-all,11,1955-11-01
LNS14000000,1955,1955 Dec,4.2,seas-unemployment-all,12,1955-12-01
LNS14000000,1956,1956 Jan,4.0,seas-unemployment-all,1,1956-01-01
LNS14000000,1956,1956 Feb,3.9,seas-unemployment-all,2,1956-02-01
LNS14000000,1956,1956 Mar,4.2,seas-unemployment-all,3,1956-03-01
LNS14000000,1956,1956 Apr,4.0,seas-unemployment-all,4,1956-04-01
LNS14000000,1956,1956 May,4.3,seas-unemployment-all,5,1956-05-01
LNS14000000,1956,1956 Jun,4.3,seas-unemployment-all,6,1956-06-01
LNS14000000,1956,1956 Jul,4.4,seas-unemployment-all,7,1956-07-01
LNS14000000,1956,1956 Aug,4.1,seas-unemployment-all,8,1956-08-01
LNS14000000,1956,1956 Sep,3.9,seas-unemployment-all,9,1956-09-01
LNS14000000,1956,1956 Oct,3.9,seas-unemployment-all,10,1956-10-01
